playlist_name,tvg_id,status,future_horizon_hours,last_programme_utc,programme_count
Bridge TV русский хит,Xbridge-tv-ruxit,OK,104.17,2026-09-07T06:00:00+00:00,54
MCM Top,Xmcm-top,OK,92.17,2026-09-06T18:00:00+00:00,47
Black,Xsony-turbo,OK,96.08,2026-09-06T21:55:00+00:00,240
Страна FM,Xradio-strana-fm-tv,OK,93.17,2026-09-06T19:00:00+00:00,181
Stars.TV,Xstars-tv,OK,100.17,2026-09-07T02:00:00+00:00,83
Матур ТВ,Xmatur-tv,OK,97.17,2026-09-06T23:00:00+00:00,72
Первый Музыкальный BY,Xonemuz,OK,103.17,2026-09-07T05:00:00+00:00,116
4Fun Kids,X4fun-gold,OK,100.17,2026-09-07T02:00:00+00:00,188
4Fun Dance,X4fun-dance,OK,100.17,2026-09-07T02:00:00+00:00,109
4fun.TV,X4fun,OK,100.17,2026-09-07T02:00:00+00:00,159
Eska TV HD,Xeskatv,OK,101.17,2026-09-07T03:00:00+00:00,384
Eska Rock TV HD,Xeskatv-rock,OK,101.17,2026-09-07T03:00:00+00:00,136
KBC-НАШ ROCK,X39824,OK,87.11,2026-09-06T12:56:19+00:00,85
YOSSO TV Music Hits,Xyosso-musichits,OK,54.63,2026-09-05T04:28:00+00:00,62
BOX Music 4K,Xbox-music-4k,OK,96.2,2026-09-06T22:02:00+00:00,129
M6 Music,Xm6-music-fr,OK,45.5,2026-09-04T19:20:00+00:00,59
Vantage Music,Xvantage-music,OK,105.17,2026-09-07T07:00:00+00:00,158
Vantage Dance,Xvantage-dance,OK,118.17,2026-09-07T20:00:00+00:00,34
Vantage Rock,Xvantage-rock,OK,110.17,2026-09-07T12:00:00+00:00,26
Vantage Classic,Xvantage-classic,OK,108.17,2026-09-07T10:00:00+00:00,96
Беларусь 1,Xbelarus1,OK,96.45,2026-09-06T22:17:00+00:00,242
Беларусь 2,Xbelarus2,OK,96.25,2026-09-06T22:05:00+00:00,181
Беларусь 3,Xbelarus3,OK,95.83,2026-09-06T21:40:00+00:00,207
Беларусь 5,Xbelarus5,OK,96.08,2026-09-06T21:55:00+00:00,127
БелРос HD,Xbelros,OK,99.83,2026-09-07T01:40:00+00:00,277
Беларусь 24,Xbelarus24,OK,95.0,2026-09-06T20:50:00+00:00,419
РТР HD,Xrtr-belarus,OK,95.67,2026-09-06T21:30:00+00:00,212
СТВ,Xstv-by,OK,97.08,2026-09-06T22:55:00+00:00,229
ОНТ,Xont-by,OK,97.67,2026-09-06T23:30:00+00:00,221
Спорт ТВ [BY],Xsport-tv-by,OK,93.75,2026-09-06T19:35:00+00:00,95
8 канал Беларусь,X8kanal-by,OK,99.17,2026-09-07T01:00:00+00:00,236
НТВ Беларусь,Xntv-belarus,OK,95.42,2026-09-06T21:15:00+00:00,266
Мир Беларусь HD,Xmir,OK,100.58,2026-09-07T02:25:00+00:00,249
ТВ3 Беларусь,Xtv3-by,OK,95.67,2026-09-06T21:30:00+00:00,141
Звязда,Xzvyazda-by,OK,100.25,2026-09-07T02:05:00+00:00,268
СкиФ Витебск,Xskif-vitebsk,OK,96.17,2026-09-06T22:00:00+00:00,122
Яснае ТВ HD,Xminsk-tv,OK,99.83,2026-09-07T01:40:00+00:00,593
Витебск,Xvitebsk,OK,96.42,2026-09-06T22:15:00+00:00,328
Первый Информационный HD,Xpervy-info-by,OK,100.58,2026-09-07T02:25:00+00:00,866
TV1 HD,Xtv1-lt,OK,95.08,2026-09-06T20:55:00+00:00,233
2TV HD,Xliuks,OK,95.17,2026-09-06T21:00:00+00:00,79
TV3 HD,Xtv3-lv,OK,96.0,2026-09-06T21:50:00+00:00,256
TV6 HD,Xtv6-lv,OK,94.17,2026-09-06T20:00:00+00:00,261
TV8 HD,Xtv8-lt,OK,93.17,2026-09-06T19:00:00+00:00,246
LTV1,Xltv1,OK,95.92,2026-09-06T21:45:00+00:00,371
LTV7,Xltv7,OK,95.75,2026-09-06T21:35:00+00:00,261
BTV HD,Xbtv,OK,95.5,2026-09-06T21:20:00+00:00,213
LNK HD,Xlnk,OK,94.33,2026-09-06T20:10:00+00:00,230
LRT HD,Xlrt-tv,OK,95.67,2026-09-06T21:30:00+00:00,351
Lietuvos ryto TV HD,Xlietuvos-ryto-televizija,OK,92.67,2026-09-06T18:30:00+00:00,280
TV3 Plus,Xtv3-plus-lt,OK,91.5,2026-09-06T17:20:00+00:00,260
