playlist_name,group,source,source_id,output_tvg_id,now,next,verified_binding_ok,binding_rule
Страшное HD,Кино,iptv-online-primary,Xstrashnoe-hd,Xstrashnoe-hd,,,,
Киноужас HD,Кино,iptv-online-primary,Xkinouzhas,Xkinouzhas,,,,
Про Любовь HD,Кино,iptv-online-primary,Xpro-lyubov,Xpro-lyubov,,,,
Кинопремьера HD,Кино,iptv-online-primary,Xkinopremiera-hd,Xkinopremiera-hd,,,,
Камеди HD,Кино,iptv-online-primary,Xkamedi,Xkamedi,,,,
Кинохит,Кино,iptv-online-primary,Xkinoxit,Xkinoxit,,,,
Киносемья,Кино,iptv-online-primary,Xkinosemiya,Xkinosemiya,,,,
Киносемья HD,Кино,iptv-online-primary,Xkinosemiya,Xkinosemiya,,,,
Киносвидание,Кино,iptv-online-primary,Xkinosvidanie,Xkinosvidanie,,,,
Кинокомедия,Кино,iptv-online-primary,Xkinokomedia,Xkinokomedia,,,,
Шокирующее,Кино,iptv-online-primary,Xshokiruyushchee-hd,Xshokiruyushchee-hd,,,,
Комедийное,Кино,iptv-online-primary,Xkomedijnoe-hd,Xkomedijnoe-hd,,,,
Лавстори HD,Кино,iptv-online-primary,Xlavstori,Xlavstori,,,,
AMEDIA 1 HD,Кино,iptv-online-primary,Xamedia1,Xamedia1,,,,
Amedia 1,Кино,iptv-online-primary,Xamedia1,Xamedia1,,,,
Amedia 2,Кино,iptv-online-primary,Xamedia2,Xamedia2,,,,
Amedia Hit,Кино,iptv-online-primary,Xamedia-hit,Xamedia-hit,,,,
AMEDIA Premium HD,Кино,iptv-online-primary,Xamedia-premium,Xamedia-premium,,,,
Amedia premium,Кино,iptv-online-primary,Xamedia-premium,Xamedia-premium,,,,
Fox Life HD,Кино,iptv-online-primary,Xfoxlife,Xfoxlife,,,,
Fox Life,Кино,iptv-online-primary,Xfoxlife,Xfoxlife,,,,
Fox HD,Кино,iptv-online-primary,Xfox,Xfox,,,,
Fox,Кино,iptv-online-primary,Xfox,Xfox,,,,
.black,Кино,iptv-online-primary,Xsony-turbo,Xsony-turbo,,,,
.red SD,Кино,iptv-online-primary,Xsony-enter,Xsony-enter,,,,
.red HD,Кино,iptv-online-primary,Xsony-tv,Xsony-tv,,,,
.sci-fi,Кино,iptv-online-primary,Xsony-scifi,Xsony-scifi,,,,
AMC,Кино,iptv-online-primary,Xamc,Xamc,,,,
Premiere HD 1,Кино,iptv-online-primary,Xpremierehd1,Xpremierehd1,,,,
Premiere HD 2,Кино,iptv-online-primary,Xpremierehd2,Xpremierehd2,,,,
Premiere HD 3,Кино,iptv-online-primary,Xpremierehd3,Xpremierehd3,,,,
Premiere HD 4,Кино,iptv-online-primary,Xpremierehd4,Xpremierehd4,,,,
Bollywood HD,Кино,iptv-online-primary,Xbollywood-hd,Xbollywood-hd,,,,
TV XXI,Кино,iptv-online-primary,Xtvxxi,Xtvxxi,,,,
Epic,Кино,iptv-online-primary,Xepic,Xepic,,,,
Epic Drama HD,Кино,iptv-online-primary,Xepik-drama,Xepik-drama,,,,
НТВ Сериал,Кино,iptv-online-primary,Xntv-serial,Xntv-serial,,,,
НТВ Хит,Кино,iptv-online-primary,Xntv-xit,Xntv-xit,,,,
Кинопоказ,Кино,iptv-online-primary,Xkinopokaz,Xkinopokaz,,,,
Киносат,Кино,iptv-online-primary,Xkinosat,Xkinosat,,,,
Кино ТВ HD,Кино,iptv-online-primary,Xkino-tv,Xkino-tv,,,,
NOW Series HD,Кино,iptv-online-primary,Xnow-series,Xnow-series,,,,
Cine+ HD,Кино,iptv-online-primary,Xcine-plus,Xcine-plus,,,,
Cine+ Hit HD,Кино,iptv-online-primary,Xcine-plus-hit-hd,Xcine-plus-hit-hd,,,,
Cine+ Legend,Кино,iptv-online-primary,Xcine-plus-ledend,Xcine-plus-ledend,,,,
Твоє Кіно Хіт,Кино,iptv-online-primary,Xtvoje-kino-xit,Xtvoje-kino-xit,,,,
Твоє Кіно Action,Кино,iptv-online-primary,Xtvoje-kino-action,Xtvoje-kino-action,,,,
Твоє Кіно Relax,Кино,iptv-online-primary,Xtvoje-kino-relax,Xtvoje-kino-relax,,,,
FilmUA Drama,Кино,iptv-online-primary,Xfilmua-drama,Xfilmua-drama,,,,
Kinowood,Кино,iptv-online-primary,Xkinowood,Xkinowood,,,,
Воен ТВ,Кино,iptv-online-primary,Xvoentv-by,Xvoentv-by,,,,
Муви ТВ,Кино,iptv-online-primary,Xmuvitv,Xmuvitv,,,,
VHS-ка HD,Кино,iptv-online-primary,Xvhs-ka,Xvhs-ka,,,,
Plan B,Кино,iptv-online-primary,Xplan-b,Xplan-b,,,,
Киноджем 1 HD,Кино,iptv-online-primary,Xkinojam1,Xkinojam1,,,,
Киноджем 2 HD,Кино,iptv-online-primary,Xkinojam2,Xkinojam2,,,,
DetectiveJam,Кино,iptv-online-primary,Xdetectivejam,Xdetectivejam,,,,
FamilyJam,Кино,iptv-online-primary,Xfamilyjam,Xfamilyjam,,,,
Go3 Films,Кино,iptv-online-primary,Xtv1000-premium,Xtv1000-premium,,,,
FilmBox+ One,Кино,iptv-online-primary,Xfilmbox-ru,Xfilmbox-ru,,,,
FilmBox+ festival,Кино,iptv-online-primary,Xfilmbox-arthouse,Xfilmbox-arthouse,,,,
Дорама,Кино,iptv-online-primary,Xdorama,Xdorama,,,,
Дорама HD,Кино,iptv-online-primary,Xdorama,Xdorama,,,,
Star Cinema HD,Кино,iptv-online-primary,Xstar-cinema-ua,Xstar-cinema-ua,,,,
Star Cinema,Кино,iptv-online-primary,Xstar-cinema-ua,Xstar-cinema-ua,,,,
Киносериал,Кино,iptv-online-primary,Xq-kino-alem,Xq-kino-alem,,,,
Кинодрама,Кино,iptv-online-primary,Xq-kino-hit,Xq-kino-hit,,,,
Семейное Кино,Кино,iptv-online-primary,Xsemejnoe-kino-kz,Xsemejnoe-kino-kz,,,,
Премиум Кино,Кино,iptv-online-primary,Xpremium-kino-kz,Xpremium-kino-kz,,,,
Кинобоевик,Кино,iptv-online-primary,Xkinoboevik-kz,Xkinoboevik-kz,,,,
Мировое Кино,Кино,iptv-online-primary,Xmirovoe-kino-kz,Xmirovoe-kino-kz,,,,
Романтичное HD,Кино,iptv-online-primary,Xromantichnoe,Xromantichnoe,,,,
Bolt HD,Кино,iptv-online-primary,Xbolt-ru,Xbolt-ru,,,,
Bolt HD Украина,Кино,iptv-online-primary,Xbolt,Xbolt,,,,
KinoLiving HD,Кино,iptv-online-primary,Xkinoliving,Xkinoliving,,,,
Kino 1,Кино,iptv-online-primary,Xkino-1,Xkino-1,,,,
Kino 24,Кино,iptv-online-primary,Xkino-24,Xkino-24,,,,
ProKino,Кино,iptv-online-primary,Xprokino,Xprokino,,,,
Start World HD,Кино,iptv-online-primary,Xstart-world,Xstart-world,,,,
Start World,Кино,iptv-online-primary,Xstart-world,Xstart-world,,,,
Start Air HD,Кино,iptv-online-primary,Xstart-air,Xstart-air,,,,
Start Air,Кино,iptv-online-primary,Xstart-air,Xstart-air,,,,
САПФИР,Кино,iptv-online-primary,Xsapfir,Xsapfir,,,,
Кинеко,Кино,iptv-online-primary,Xkineko,Xkineko,,,,
Родное кино,Кино,iptv-online-primary,Xrodnoe-kino,Xrodnoe-kino,,,,
Дом Кино,Кино,iptv-online-primary,Xdomkino,Xdomkino,,,,
Дом кино премиум HD,Кино,iptv-online-primary,Xdomkino-premium,Xdomkino-premium,,,,
Еврокино,Кино,iptv-online-primary,Xevrokino,Xevrokino,,,,
Русский роман,Кино,iptv-online-primary,Xrussky-roman,Xrussky-roman,,,,
Русский Иллюзион,Кино,iptv-online-primary,Xrussky-illuzion,Xrussky-illuzion,,,,
Мосфильм. Золотая коллекция,Кино,iptv-online-primary,Xmosfilm,Xmosfilm,,,,
Мосфильм HD,Кино,iptv-online-primary,Xmosfilm,Xmosfilm,,,,
