playlist_name,playlist_tvg_id,output_tvg_id,group,region,source,source_id,method,confidence
Auto Motor Sport HU,XAuto.Motor.Sport.TV.hu,XAuto.Motor.Sport.TV.hu,Венгрия,HU,iptv-online-primary,XAuto.Motor.Sport.TV.hu,id,99
Slager TV HU,XSláger.TV.hu,XSláger.TV.hu,Венгрия,HU,iptv-online-primary,XSláger.TV.hu,id,99
Film Mania HU,XFilm.Mánia.hu,XFilm.Mánia.hu,Венгрия,HU,iptv-online-primary,XFilm.Mánia.hu,id,99
Viasat Explore HD HU,XViasat.Explore.hu,XViasat.Explore.hu,Венгрия,HU,iptv-online-primary,XViasat.Explore.hu,id,99
Viasat History HU,XViasat.History.hu,XViasat.History.hu,Венгрия,HU,iptv-online-primary,XViasat.History.hu,id,99
Life TV HU,XLifeTv.hu,XLifeTv.hu,Венгрия,HU,iptv-online-primary,XLifeTv.hu,id,99
Animal Planet HU,XAnimal.Planet.HD.hu,XAnimal.Planet.HD.hu,Венгрия,HU,iptv-online-primary,XAnimal.Planet.HD.hu,id,99
Discovery HU,XDiscovery.Channel.hu,XDiscovery.Channel.hu,Венгрия,HU,iptv-online-primary,XDiscovery.Channel.hu,id,99
ID Investigation Discovery HU,XID:.Investigation.Discovery.hu,XID:.Investigation.Discovery.hu,Венгрия,HU,iptv-online-primary,XID:.Investigation.Discovery.hu,id,99
Nat Geo Wild HU,XNational.Geographic.Wild.HD.hu,XNational.Geographic.Wild.HD.hu,Венгрия,HU,iptv-online-primary,XNational.Geographic.Wild.HD.hu,id,99
Dikh TV HU,XDikh.TV.hu,XDikh.TV.hu,Венгрия,HU,iptv-online-primary,XDikh.TV.hu,id,99
