enabled,observed_at,playlist_name,observed_title,origin,notes
1,2026-09-13T02:19:22.088144+00:00,BCU Russian HD,22 минут,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=21.25
1,2026-09-13T03:14:36.896280+00:00,TVPlay DC Comics HD,АКВАМЕН 2018,movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=21.75
1,2026-09-13T03:14:36.896280+00:00,BOX Relax 4K,RELAXATION FILM,movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=13.5
1,2026-09-13T04:14:09.284212+00:00,Premiere HD 2,Моана,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=16.25
1,2026-09-13T04:14:09.284212+00:00,VeleS 60FPS,Начало (2010),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=21.5
1,2026-09-13T05:04:20.643105+00:00,DITV Concert,обла,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=13.0
1,2026-09-13T07:04:55.402161+00:00,DITV КОМЕДИИ 90-х,Джуманджи (1995),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=17.25
1,2026-09-13T08:03:24.124982+00:00,Insomnia HD,ЛИМБ,movie-live-observer,high-confidence OCR; zone=top_left; engine=tesseract; score=18.0
1,2026-09-13T08:03:24.124982+00:00,РуКино HD,ДЕВЯТАЯ,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=21.75
1,2026-09-13T08:03:24.124982+00:00,DITV Американские комедии 80-90-х,мерику,movie-live-observer,high-confidence OCR; zone=left_bottom; engine=tesseract; score=16.5
1,2026-09-13T08:03:24.124982+00:00,DITV КЛАССИКА ИНДИЙСКОГО КИНО,Танцор Диско (1,movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=17.75
1,2026-09-13T08:03:24.124982+00:00,MM Ужасы HD,Рога (2013),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=18.0
1,2026-09-13T10:01:33.861663+00:00,DITV СССР 4К,12 стульев(19У6),live-verifier,high-confidence OCR from live movie stream
1,2026-09-13T10:14:36.968815+00:00,DITV КЛАССИКА ИНДИЙСКОГО КИНО,OD Pon sail,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=12.25
1,2026-09-13T12:02:34.606177+00:00,DITV КОМЕДИИ,Амели (2001),movie-live-observer,high-confidence OCR; zone=left_bottom; engine=tesseract; score=16.25
1,2026-09-13T12:02:34.606177+00:00,DITV СССР 4К,Собачье сердце (1988),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=18.25
1,2026-09-13T15:02:05.440084+00:00,VHS HD,НАЗАД В БУДУЩЕЕ 3,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=23.25
1,2026-09-13T15:02:05.440084+00:00,РуКино HD,ВТОРЖЕНИЕ,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=22.25
1,2026-09-13T15:02:05.440084+00:00,DITV Про акул,Крейсер,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=16.75
1,2026-09-13T15:02:05.440084+00:00,DITV КОМЕДИИ,Чудо в камере № 7,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=17.75
1,2026-09-13T16:01:41.067884+00:00,DITV КОМЕДИИ 90-х,Убрать перископ (1996),movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=18.5
1,2026-09-13T16:01:41.067884+00:00,DITV КОМЕДИИ СССР,Три плюс два (1963),movie-live-observer,high-confidence OCR; zone=left_bottom; engine=tesseract; score=17.5
1,2026-09-13T16:01:41.067884+00:00,DITV Walt Disney,Рева 1,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=18.0
1,2026-09-13T17:02:55.211998+00:00,Thriller HD,BD PREMIERE GROUP,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=13.75
1,2026-09-13T17:02:55.211998+00:00,DITV ФИЛЬМЫ,БРАТ (1997),movie-live-observer,high-confidence OCR; zone=left_bottom; engine=tesseract; score=13.0
1,2026-09-13T18:03:21.393898+00:00,MM Ужасы HD,Дом ада. Спуск к дьяволу (2025),movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=19.75
1,2026-09-13T18:03:21.393898+00:00,MM Погружение HD,Кит-убийца (2026),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=17.25
1,2026-09-13T19:04:38.969867+00:00,DITV КЛАССИКА ИНДИЙСКОГО КИНО,Танцор диско (1982),movie-live-observer,high-confidence OCR; zone=left_bottom; engine=tesseract; score=17.75
1,2026-09-13T20:06:24.713157+00:00,Premiere HD 2,Моана,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=21.25
1,2026-09-13T20:06:24.713157+00:00,DITV КОМЕДИИ,комедий,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=16.75
1,2026-09-13T20:06:24.713157+00:00,MM Погружение HD,Заклинательница акул (2012),movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=19.75
1,2026-09-13T21:07:37.627035+00:00,DITV ФИЛЬМЫ,Жених (2016),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=16.25
1,2026-09-13T21:07:37.627035+00:00,MM Катастрофа HD,Пылающее море (2021),movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=18.0
1,2026-09-13T21:07:37.627035+00:00,MM Flip UHD,Зараза | 2025,movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=21.5
1,2026-09-13T22:07:54.518249+00:00,MM Катастрофа HD,тоста,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=16.25
1,2026-09-13T22:07:54.518249+00:00,MM Flip UHD,Балерина | 2025,movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=22.0
1,2026-09-13T23:08:10.070283+00:00,DITV Про акул,Отмель,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=21.5
1,2026-09-13T23:08:10.070283+00:00,DITV КОМЕДИИ 90-х,Голый пистолет 2 1/2: Запах en oe,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=18.0
1,2026-09-13T23:08:10.070283+00:00,DITV КОМЕДИИ,Достать коротышку,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=19.0
1,2026-09-14T00:08:07.696240+00:00,РуКино HD,ДВОЕ,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=18.0
1,2026-09-14T00:08:07.696240+00:00,DITV ФИЛЬМЫ УЖАСОВ 80-х,Нечто (1982),movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=16.25
1,2026-09-14T00:08:07.696240+00:00,MM Катастрофа HD,ожае,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=18.0
1,2026-09-14T01:10:56.580344+00:00,Premiere HD 2,Моана,movie-live-observer,high-confidence OCR; zone=top_left; engine=tesseract; score=16.25
1,2026-09-14T01:10:56.580344+00:00,VeleS С Новым годом!,Елки новые (2017),movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=22.25
1,2026-09-14T02:11:49.749281+00:00,MM Translation HD,4 `ФфФоФФс,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=12.75
